#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_aircon,80x0C_park_neutral_switch,80x0F_idle_set_point,80x10_idle_hot,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,coolant_sensor_fault,air_intake_sensor_fault,fuel_pump_circuit_fault,throttle_pot_fault,0x80_raw,7dx01_ignition_switch,7dx02_throttle_angle,7dx04_air_fuel_ratio,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0F_idle_base_pos,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx1F_jack_count,0x7d_raw
2023-05-15 19:39:07.264,1119,46,200,21,200,32,13.9,0.62,0,true,true,0,26,91,0,0,11,2.6,16,false,false,false,false,801C045F65FF4CFF208B1F0020010000001A8B5B001500460516100000,true,10.2,14.6,585,255,255,1,true,11,-1,0,80,0,128,22,7D201011FF924075FFFF01018B6300FF50FFFF30808018FF16C01C4023C031C016
2023-05-15 19:39:08.031,1114,46,200,21,200,32,13.9,0.62,0,true,true,0,26,91,0,0,11.5,2.6,16,false,false,false,false,801C045A65FF4CFF208B1F0020010000001A8B5B001100470515100000,true,10.2,14.6,780,255,255,1,true,11,-1,0,80,0,128,22,7D201011FF92409CFFFF01018B6300FF50FFFF30808010FF16C01C4023C031C016
2023-05-15 19:39:08.766,1111,46,200,21,200,32,13.9,0.62,0,true,true,0,26,91,0,0,12,2.58,16,false,false,false,false,801C045765FF4CFF208B1F0020010000001A8B5B00080048050C100000,true,10.2,14.6,160,255,255,1,true,11,0,0,80,0,128,22,7D201011FF924020FFFF01018B6400FF50FFFF30808011FF16C01C4023C031C016
2023-05-15 19:39:09.550,1112,46,200,21,200,32,13.8,0.62,0,true,true,0,26,91,0,0,10.5,2.6,16,false,false,false,false,801C045865FF4CFF208A1F0020010000001A8B5B000F00450514100000,true,10.2,14.6,245,255,255,1,true,11,1,0,80,0,128,22,7D201011FF924031FFFF01018B6500FF50FFFF30808014FF16C01C4023C031C016
2023-05-15 19:39:10.285,1106,46,200,21,200,31,13.8,0.62,0,true,true,0,26,89,0,0,14,2.6,16,false,false,false,false,801C045265FF4CFF1F8A1F0020010000001A8B590004004C0516100000,true,10.2,14.6,820,255,255,1,true,11,-1,0,80,0,128,22,7D201011FF9240A4FFFF01018B6300FF50FFFF30808000FF16C01C4023C031C016
2023-05-15 19:39:11.067,1113,47,200,21,200,32,13.9,0.62,0,true,true,0,26,89,0,0,12,2.59,16,false,false,false,false,801C045966FF4CFF208B1F0020010000001A8B5900050048050F100000,true,10.2,14.6,575,255,255,1,true,11,-2,0,80,0,128,22,7D201011FF924073FFFF01018B6200FF50FFFF30808007FF16C01C4023C031C016
2023-05-15 19:39:12.074,1098,47,200,21,200,32,13.9,0.62,0,true,true,0,26,89,0,0,14,2.59,16,false,false,false,false,801C044A66FF4CFF208B1F0020010000001A8B590002004C0510100000,true,10.2,14.6,100,255,255,1,true,11,-1,0,80,0,128,22,7D201011FF924014FFFF01018B6300FF50FFFF30808003FF16C01C4023C031C016
2023-05-15 19:39:13.017,1114,47,200,21,200,31,13.9,0.62,0,true,true,0,26,89,0,0,11.5,2.58,16,false,false,false,false,801C045A66FF4CFF1F8B1F0020010000001A8B59000F0047050A100000,true,10.2,14.6,540,255,255,1,true,11,-2,0,80,0,128,22,7D201011FF92406CFFFF01018B6200FF50FFFF30808003FF16C01C4023C031C016
2023-05-15 19:39:13.704,1098,47,200,21,200,32,13.8,0.62,0,true,true,0,26,89,0,0,12,2.59,16,false,false,false,false,801C044A66FF4CFF208A1F0020010000001A8B59000A0048050E100000,true,10.2,14.6,190,255,255,1,true,11,0,0,80,0,128,22,7D201011FF924026FFFF01018B6400FF50FFFF30808008FF16C01C4023C031C016
2023-05-15 19:39:14.535,1112,47,200,21,200,31,13.9,0.62,0,true,true,0,26,89,0,0,11.5,2.6,16,false,false,false,false,801C045866FF4CFF1F8B1F0020010000001A8B59000900470514100000,true,10.2,14.6,185,255,255,1,true,11,1,0,79,0,128,22,7D201011FF924025FFFF01018B6500FF4FFFFF30808017FF16C01C4023C031C016
